"full_name","H","albedo","diameter_sigma","e","a","i"
" 86326 (1999 WK13)",17.35,0.098,0.03,0.3627,1.844,34.31
" 86450 (2000 CK33)",18.44,,,0.4148,0.9681,18.11
" 86666 (2000 FL10)",16.88,0.228,0.46,0.4270,1.463,29.01
" 86667 (2000 FO10)",17.54,0.349,0.02,0.5946,0.8594,14.29
" 86819 (2000 GK137)",17.48,0.301,0.27,0.5059,1.996,10.06
" 86829 (2000 GR146)",15.81,0.232,0.04,0.5750,1.463,14.37
" 86878 (2000 HD24)",17.65,,,0.6186,1.342,9.47
" 87024 (2000 JS66)",18.73,,,0.1898,1.197,14.43
" 87025 (2000 JT66)",18.13,,,0.4836,1.226,25.32
" 87309 (2000 QP)",17.59,0.499,0.16,0.4632,0.8475,34.74
" 87311 (2000 QJ1)",16.50,0.142,0.14,0.5121,1.59,7.70
" 87684 (2000 SY2)",15.97,,,0.6427,0.8587,19.22
